"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,2.071918642110032,2.1023169884075816,0.9984837371932878,4
"('green_busy', 'left')",0.0,0.0,0.0,2.1404892338365324,0.9999999997471032,1
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",18.77957341437071,20.147555223587084,18.856859070326543,17.800656770696346,0.5620431497009764,452
"('green_clear', 'left')",17.632692720885316,15.925981950121239,20.81060445049503,19.13754915860791,0.7599754554145861,212
"('green_clear', 'right')",20.506611540379907,18.84285902999785,19.348461791432385,21.697212471838327,0.7756345543057301,434
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",2.114365224435201,-0.1,2.903603461377748,0.3756681228564065,0.7477458029569796,8
"('red_busy', 'left')",0.0,0.06760248585506212,3.2844472312461805,0.0,0.7156834043183826,6
"('red_busy', 'right')",0.19808777297077362,3.591788472333355,-0.023783658366618134,6.7180819143500585,0.9090913019835875,13
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",17.85317384268249,16.167458098202452,15.950241969064358,17.706524274594887,0.5206194832804405,569
"('red_clear', 'left')",18.304138994133922,16.66920454501675,14.736405047942435,20.01108346661958,0.7519897094023673,256
"('red_clear', 'right')",21.182522732052398,19.35719544015231,20.036941468527242,22.851092533407915,0.5944274554900272,506
