"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.002009821302157986,0.0,-0.09798867711321853,0.0,0.650169347819474,2
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,-0.0981234340091658,0.0,0.8636765338628151,1
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.002234260690587217,2.006656790636498,-0.1685105883253366,-0.09444,0.004603746098631432,344
"('green_clear', 'left')",0.00192660596047516,-0.09395419316759734,2.004624932339392,-0.16940683887896463,0.006205853983990078,64
"('green_clear', 'right')",0.00473465574290657,-0.13238745738180122,-0.23115594393002778,2.0045348292882528,0.005758643746711301,70
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.006774263565663869,0.0,-0.09999818782616826,0.0,0.18758216091614663,7
"('red_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.008688813936096534,-0.19,-0.4094920303391239,-0.20475176252045688,0.005311240636158263,559
"('red_clear', 'left')",0.007457250194422133,-0.27065767817243347,-0.19,-0.049311858,0.004949373208129183,103
"('red_clear', 'right')",0.0019871372758343137,-0.40533872888392775,-0.34051030490736317,1.9978909389914035,0.012076935461572558,58
