"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,-0.009832208881154193,0.0,0.752457973014805,1
"('green_busy', 'left')",8.517889086690895e-05,0.0,0.0,0.0,0.7500212947226652,1
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.0,1.9538689653976196,-0.00993821703528873,-0.005,0.0005305102665698848,363
"('green_clear', 'left')",1.9132568456322774e-05,0.0,0.8860832896758833,-0.005,0.011677844711730362,64
"('green_clear', 'right')",1.7442204201422356e-05,-0.004998000000000001,-0.004917129321631394,1.0810542167715005,0.009628396665386695,82
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",1.5307659456321545e-06,-0.009999518662805476,-0.019711290063115103,-0.014692994218808798,0.07852479001043698,9
"('red_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.007485620131014327,-0.0199,-0.0199,-0.004998000000000001,9.19620142767632e-05,578
"('red_clear', 'left')",0.0012169202314148057,-0.01,-0.0199,-0.004996019602,3.652138915979232e-05,84
"('red_clear', 'right')",0.0001321436037959673,0.0,-0.0296334761633254,0.8164125666262952,0.011866101140874902,58
