"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,0.0,10.323714768347653,1.0,1
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",14.002919660618394,11.6323649251009,14.262364925100902,10.1982164751009,0.7214265193543508,371
"('green_clear', 'left')",11.758799622909326,10.032364925100898,13.27912843259081,12.336128432590812,0.9466251271370503,269
"('green_clear', 'right')",14.762364925100902,14.262364925100902,14.262364925100902,16.402627694556557,0.6200790941823849,513
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",4.3968033,0.0,10.86480218314525,0.0,1.0,2
"('red_busy', 'left')",12.112036571492995,8.931491292997963,11.034990325553292,10.560656540852486,0.9405289889391479,15
"('red_busy', 'right')",12.94640837803392,-1.0,10.707036571492994,14.384898197815467,0.8961689611163969,8
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",9.479128432590809,11.836128432590812,8.6323649251009,10.197515589331731,0.9791541528259068,424
"('red_clear', 'left')",11.159215589331728,9.6982164751009,10.27912843259081,11.886128432590812,0.9493041490798351,297
"('red_clear', 'right')",12.215627694556556,13.762364925100902,12.35251558933173,16.762364925100904,0.9911050333339858,567
