"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,1.010043307160091,0.0,0.0,1.0,1
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.019745082432538856,2.0135164317161087,-0.47984373536194225,-0.4852589587852799,0.29961418077522095,414
"('green_clear', 'left')",0.01975117327062221,-0.4891265357297094,2.0042165776809364,-0.4800089352011905,0.29415908624682297,150
"('green_clear', 'right')",0.01908321873133103,-0.47614542556871964,-0.4814495098672561,2.0187295820981253,0.16412116903390592,134
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.010088318249906698,-0.5,-0.5,-0.2400544135524057,0.8997968024639352,4
"('red_busy', 'left')",0.0,0.0,-0.4904200017762222,-0.23990194573753434,0.9999999999857038,2
"('red_busy', 'right')",0.0,-0.5,0.0,1.0100426037086083,1.0,2
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.013026561325451044,-0.9972455168563035,-0.9860545785935074,-0.4967819241635345,0.3035208082888872,572
"('red_clear', 'left')",0.016418653279760012,-0.9966365859320085,-0.9861316525686236,-0.4798898807532435,0.18597500836876996,218
"('red_clear', 'right')",0.020075908664786195,-0.9797199965754761,-0.9779913989612041,2.019990614110192,0.07142679577151521,134
