"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",12.638633111415217,14.139012504721936,12.933014646898501,11.326139727815352,0.9684630004052576,385
"('green_clear', 'left')",11.033370960896482,9.679057348610378,13.158918725510825,12.780491957285326,0.999940334093696,273
"('green_clear', 'right')",13.540171549732971,12.912206595732641,11.065987612427689,14.816141371595837,0.9991217238798928,522
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.013342990848996681,0.9306655804157765,1.0416910452186952,0.0,0.9413733423494025,4
"('red_busy', 'left')",0.05458000000000001,-0.19,0.0,0.0,0.7312321650576938,5
"('red_busy', 'right')",0.09347259239202968,1.7716817448788227,1.3461930930462602,3.132914210270213,0.9593689789521638,9
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",12.411361800056204,9.83360580322807,9.484750315994752,10.029366067272178,0.6312280910803845,439
"('red_clear', 'left')",10.821810917180848,9.917312111982023,9.235805136094006,11.129758585717513,0.9971530750823937,315
"('red_clear', 'right')",13.975299444141417,13.225836420122704,12.928809250823365,15.300741867982335,0.9999507811530108,662
