"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,1.8180163812906116,-0.8820003276800266,0.0,0.8203776815895482,2
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.019965894615755195,2.0001985551037964,-0.4795021902511598,-0.47955435835046706,0.005270211213270389,333
"('green_clear', 'left')",0.018001798893356263,-0.45,2.0019806590428466,-0.47718,0.005031833940254199,65
"('green_clear', 'right')",0.0,-0.47505796200000006,-0.479836653592558,2.018383415805028,0.0055304277358611716,51
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.0,-0.9719818204711751,-0.9,-0.4751803451224081,0.3104618228077754,6
"('red_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'right')",0.0,0.0,-0.9703603912855846,1.8001620516657753,0.6112766982337894,3
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.019839459342565185,-0.9998821473336127,-0.9791787532124184,-0.4833,0.005408050072113358,473
"('red_clear', 'left')",0.01836013444131137,-0.98118,-0.8998365259915095,-0.43218,0.00716328098772068,143
"('red_clear', 'right')",0.0,-0.97003996089858,-0.988218,2.020002135264291,0.0028438254686416723,68
