"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,0.0,133.76008222759896,1.0,1
"('green_busy', 'left')",128.72168358938234,0.0,0.0,0.0,1.0,1
"('green_busy', 'right')",0.0,165.60064856953238,0.0,130.7781656545173,1.0,2
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",220.48713389653113,220.88273426093195,221.239293748654,209.35999702495113,0.7739853878095959,405
"('green_clear', 'left')",204.53106074002184,210.97702389014302,217.54910939180326,209.23314875841203,0.6317127769250559,242
"('green_clear', 'right')",215.92701694771065,216.97926915235846,215.13756969082502,217.96600461127923,0.7355617467319168,555
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",147.74338897375986,0.0,0.0,139.3903246596019,0.9999999999998143,3
"('red_busy', 'left')",158.71729102306736,189.38432150112874,159.4204959828963,0.0,0.8916059111756847,5
"('red_busy', 'right')",93.89952830415054,112.77108619183501,12.734782024287927,134.5854994442866,0.9750312224322756,12
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",215.4502103668298,211.1442550150964,211.11227931998062,208.26955601816422,0.042072961182626184,409
"('red_clear', 'left')",196.6865665048992,199.8980038145254,208.85825569883056,217.26202757065377,0.810818541990702,263
"('red_clear', 'right')",214.98696324093535,216.83602189600268,217.7215343169137,220.21530722754727,0.7059504339288469,605
