"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'left')",0.0,4.956209574680276,0.0,0.0,1.0,1
"('green_busy', 'right')",0.0,0.2,3.46135406489759,0.0,0.9552989042417055,2
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",10.256831493472959,11.195607864547874,10.861168312340048,10.270732209523754,0.6250813618307339,393
"('green_clear', 'left')",11.128069296015813,10.567878847909775,12.083906686841962,10.938553807216813,0.496810688470814,207
"('green_clear', 'right')",11.488686960628279,10.23764437047913,10.003647104493721,11.715863830536843,0.821161835951674,581
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'left')",1.9041135853847582,3.7560638479221913,0.0,9.77668566445533,0.9750725073078281,8
"('red_busy', 'right')",5.539573401927848,7.631810676403953,1.9928080308675318,0.0,0.9917534817440319,7
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",9.7067810930632,7.945224811576881,8.514589148846742,9.889368689957635,0.9579799080066864,444
"('red_clear', 'left')",9.967226729968996,8.921870318317202,9.313812834479759,11.016221828321235,0.5040175681516764,277
"('red_clear', 'right')",10.769200734435532,10.309361192676054,9.628582460674904,13.15165684968009,0.7883934852968593,639
