"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,2.6271386601160494,0.0,0.3516775608774393,0.6132735422830483,3
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.8367486593407094,2.2031416891406597,0.10048147717670342,0.15934964630377102,0.15127866724247155,334
"('green_clear', 'left')",0.7881715604760473,0.15948445830610014,2.239349646303771,-0.2986808381174361,0.2012937658129858,106
"('green_clear', 'right')",0.7881415980348148,0.1593406565808776,-0.30219748790875955,2.857099597802213,0.08544140119188628,109
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.6593406655026014,0.0,-1.0,-0.416,0.3452621830861382,7
"('red_busy', 'left')",0.6604906940419484,-1.0,-1.0,0.0,0.4185294056598694,5
"('red_busy', 'right')",0.78,-0.21999999999999997,-0.21999999999999997,2.6543872260882115,0.30427333822817526,6
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.060942506742197915,-0.7606474265369735,-0.3390574932578021,-0.29845826838832756,0.19462920367414274,513
"('red_clear', 'left')",0.626805772038908,-0.9773389702,-0.34066122360475304,0.30266251948350176,0.21430684309916107,125
"('red_clear', 'right')",0.8551430600291984,-0.20177243826022218,-0.21870817588772062,2.7963161678264634,0.22255380105512457,128
