"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,0.0,-0.04992934788145494,0.7577989292264216,1
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.060807107589069265,2.0983458017952237,-0.095,-0.0295424073002295,0.006719981054444666,351
"('green_clear', 'left')",0.010636550237067206,-0.05,2.1039530314434183,-0.028515665932252316,0.006668740778383715,67
"('green_clear', 'right')",0.010401948914570705,-0.15306986186586016,-0.05,2.1013113927219056,0.006667984485381472,63
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.0,-0.21370024327639184,0.0,-0.041398051085429294,0.2016682094135574,6
"('red_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'right')",0.02149010457120258,0.0,-0.1,0.0,0.3263471041321456,4
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.0969753218848323,-0.1,-0.19,-0.1355,0.006421359309790893,555
"('red_clear', 'left')",0.0848954399901589,-0.19,-0.34390000000000004,-0.05,0.006287386490350865,101
"('red_clear', 'right')",0.0,-0.1,-0.19,2.145021321177062,0.005788610283501933,55
