"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.023931126040073112,0.0,0.0,0.7797719566229134,1
"('green_busy', 'left')",0.0,0.0,0.0,0.02907499993458289,0.7860898676332038,1
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.22854469827207285,4.1337577596658335,0.023956509055650808,-0.006388210699072064,0.07222754089308178,384
"('green_clear', 'left')",0.031090504749058633,0.0017616810231314251,1.6526887936236139,-0.00995,0.1448582935711524,66
"('green_clear', 'right')",0.014247142112228443,0.01454410317750143,0.013384266560855018,1.5583282050027905,0.14552900715474398,74
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.0,0.0,0.0,-0.01162258142848324,0.43313199554633486,3
"('red_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'right')",0.0,0.0,0.0,0.02382015611595435,0.779635202402553,1
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",2.7342163286942416,0.03461292576545706,0.0530794427947016,-0.0030887964164499904,0.044400229300589886,596
"('red_clear', 'left')",0.30291972620929497,-0.01,-0.03840663354081436,-0.00118265312192079,0.022695461625494958,128
"('red_clear', 'right')",0.005705037372666246,-0.01773108646653182,0.0018007169194139423,1.986301767946356,0.12920040097050156,91
