"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,-0.7750956084441543,-0.2519447367958706,0.5268438678692675,3
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.22149124997774255,2.0365148077975537,-0.28097641699780807,-0.47672165203628275,0.059114995874601145,353
"('green_clear', 'left')",0.0,-0.46027332470985416,2.2021389954732746,-0.29786739395861733,0.06974235832882786,77
"('green_clear', 'right')",0.21929927026856075,-0.298159135793096,-0.48148476152105874,2.038702807345056,0.05273571871120135,87
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.18381917603406558,-0.9735603056267773,0.0,0.0,0.14225890258281754,10
"('red_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.18512043829615307,-0.994663514276816,-0.9618114712581832,-0.2802675898096291,0.0774301531067456,514
"('red_clear', 'left')",0.007285735380780077,-0.8014122018468702,-0.799241355488273,-0.2801438790443111,0.08177542954121338,139
"('red_clear', 'right')",0.0,-0.7813432871699516,0.0,2.2005835464989536,0.04400288258863898,82
