"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0200020202020002,0.0,0.0,-0.4797979797979998,0.3502846085085641,4
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.0200020200020202,2.0202020202020203,-0.47999799979998,-0.4798,0.0014853744762045897,327
"('green_clear', 'left')",0.020200020002000198,-0.5,2.02020002020202,-0.4797979797979798,0.006131564667631567,78
"('green_clear', 'right')",0.0,-0.5,-0.5,2.00020002000202,0.009529611064335669,59
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.0,-0.98,0.0,0.0,0.8864711296983693,1
"('red_busy', 'left')",0.0,0.0,0.0,-0.47999799979998,0.8228278671038921,1
"('red_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.020202020202020204,-1.0,-0.9799979797979999,-0.499798,0.0077931753904690645,450
"('red_clear', 'left')",0.0200020202020002,-1.0,-1.0,-0.48,0.0072742304233446905,124
"('red_clear', 'right')",0.0,-0.98,-1.0,2.0202020202020203,0.003977346852373813,61
