"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0200020202,0.0,0.0,0.0,0.7749194988186228,1
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.020200020002000205,2.0200020002000203,-0.479797979998,-0.48,0.04882359101784649,336
"('green_clear', 'left')",0.020202000200020002,-0.4798,2.02000200020202,-0.4799979997979998,0.048323629764328864,68
"('green_clear', 'right')",0.0202,-0.47979997999798,-0.4797999799979998,2.02000200020002,0.016711441552274012,90
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.0,-0.98,-1.0,-0.4797979797979798,0.2683602281840091,9
"('red_busy', 'left')",0.0,0.0,0.0,-0.5,0.9966535745378576,1
"('red_busy', 'right')",0.0,0.0,0.0,2.020200020002,0.999999999157921,1
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.0200020002000202,-0.99999999979998,-0.9999979797979998,-0.47979799979998,0.06265839948822202,539
"('red_clear', 'left')",0.020002020200020003,-0.9997999799979999,-0.9997999797999798,-0.47979799979998,0.06011795388065731,111
"('red_clear', 'right')",0.02,-1.0,-0.98,2.0200020002000203,0.07746018816437775,87
