"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,1.999409002059072,0.0,-0.26803084124318677,0.8086952328619522,2
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.22151430964599964,2.221684526522575,-0.2948456623972481,-0.4602599469335752,0.06469380017379332,360
"('green_clear', 'left')",0.016422669701398704,-0.31631110570616694,2.220401430516179,-0.4774024938960415,0.04723489226411946,86
"('green_clear', 'right')",0.20288443125012945,-0.29607209177085425,-0.29360548988977175,2.2219629276017656,0.029610725140506926,92
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.016350072989891752,-0.9718342698580125,-0.719832523015269,-0.47783585864320854,0.339112784388765,7
"('red_busy', 'left')",0.0,0.0,-0.999,-0.2664277785826135,0.4713373732782317,4
"('red_busy', 'right')",0.0,-0.9,-0.7904207494329181,0.0,0.5199683669749986,4
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.18733813499746338,-0.7980474406995042,-0.9808664802410694,-0.46462131809673135,0.1329618155425365,551
"('red_clear', 'left')",0.19974102886747683,-0.9636461444405605,-0.9868796927567342,-0.281114302600321,0.09779923811635961,139
"('red_clear', 'right')",0.21823826770743748,-0.799921278,-0.7790654956333298,2.021872233046691,0.060989241340991186,92
