"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'left')",0.0,5.817978537616319,0.0,0.0,0.9999955788605372,1
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",9.319393270563369,10.226831411737075,9.738203079465695,9.50745394350703,0.5157952563963051,328
"('green_clear', 'left')",9.852816295563366,9.529479753804404,10.41753466600703,9.188753079465696,0.552430201069179,307
"('green_clear', 'right')",10.238203079465695,10.894760979101468,8.875781199406328,11.507377771519128,0.4593905417736132,449
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",13.894092325461987,0.0,0.0,0.0,0.8124999999995727,2
"('red_busy', 'left')",9.441531361908119,0.0,8.976748582829797,0.0,0.8531913125095596,5
"('red_busy', 'right')",9.645099327558498,0.0,13.558801636647468,15.751606958824036,0.9968831521681271,4
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",9.51528119940633,8.319393270563369,7.563753079465696,8.79952629081897,0.693982776210148,451
"('red_clear', 'left')",9.29952629081897,8.595383924816627,8.107453943507032,9.662823661737074,0.5864789158685192,356
"('red_clear', 'right')",9.688753079465696,10.394760979101468,10.394760979101468,10.563753079465696,0.7298314933486,543
