"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'left')",0.0,0.0,0.0,0.0,0.75,1
"('green_busy', 'right')",26.113711517012742,22.360143626785042,25.957698245303824,0.0,1.0,4
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",62.87170788616292,63.13990937002497,61.88272270754127,61.55820527398639,0.9059187538903687,300
"('green_clear', 'left')",58.46818988453545,59.62152493579505,61.23406162369782,60.351362605006145,0.9740316144528351,247
"('green_clear', 'right')",63.42160343177157,62.86421975197529,48.67960498612076,64.8436896173458,0.8861942423952618,492
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.0,3.5645574629306793,0.0,38.61164487476685,0.9999999999999999,3
"('red_busy', 'left')",0.0,0.0,0.0,35.84931664197045,1.0,2
"('red_busy', 'right')",36.807398602185216,40.79783491937367,47.37221656676223,29.67012852620251,0.9909097233792068,18
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",62.43753334092259,60.12536991335005,61.318419251659456,60.264536953945914,0.7047089581403185,391
"('red_clear', 'left')",60.96992704633762,57.73636059919788,58.82845862470808,62.54045404261008,0.9509917110754987,328
"('red_clear', 'right')",63.419744209988224,61.57508164697671,63.21950067125625,64.66395220501644,0.9646610808394004,523
