"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,156.0,0.0,0.0,1.0,1
"('green_busy', 'left')",0.0,0.0,167.5,0.0,1.0,1
"('green_busy', 'right')",144.0,155.5,0.0,36.0,1.0,3
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",192.0,184.0,189.0,168.5,0.19739990158027504,262
"('green_clear', 'left')",168.5,192.0,192.5,191.0,0.39706347001230813,458
"('green_clear', 'right')",193.0,190.5,191.0,179.5,0.8141219867419857,454
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",179.5,0.0,0.0,0.0,0.7539062499999533,4
"('red_busy', 'left')",0.0,151.5,78.0,79.0,0.920239527348322,9
"('red_busy', 'right')",132.5,-1.0,167.5,151.5,0.8681073565296464,6
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",190.5,189.5,186.5,190.5,0.41288911083941343,314
"('red_clear', 'left')",192.5,168.0,168.0,167.0,0.32414287990076474,449
"('red_clear', 'right')",193.5,188.5,186.5,178.0,0.259293987522767,571
