"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'left')",0.0,-0.004945439012282954,0.0,0.0,0.7512363496738013,1
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.005853582974055036,2.2219602928962723,-0.015293229475165364,0.0,0.002431870313573443,332
"('green_clear', 'left')",0.0,-0.008776109847068104,0.8551120432923905,-0.008974732577232752,0.014735156168489392,52
"('green_clear', 'right')",0.00040901938349489426,-0.00989,-0.004590980616505106,1.2011221916751509,0.012752818034455932,81
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.006504966098340419,0.0,-0.014528310551819447,-0.0022189886545572386,0.24139311373574845,5
"('red_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'right')",0.0,-0.007113492790040646,-0.009819870853280729,0.0,0.5661195098060567,2
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.27373648214122115,-0.009939465382,-0.0199,-0.007541413910350651,0.0028817199065906407,511
"('red_clear', 'left')",0.03098783865680461,-0.01,-0.01,-0.0047023199222236915,0.0009018373876608716,117
"('red_clear', 'right')",0.0,-0.01,-0.027390580601172665,1.1440611452693628,0.014475808651923164,75
