"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.005710890667655542,0.021629689518745297,-0.008894212110511756,0.0,0.4554604422628146,3
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.0031955943643525685,2.185831481618344,-0.030267958268215434,-0.01708504474310013,0.01484699213793091,339
"('green_clear', 'left')",0.0,-0.01479032,1.0408684082015895,-0.013919722899909922,0.06705517833860608,66
"('green_clear', 'right')",0.008840529292102509,-0.00494,-0.008314409720547006,1.0263587298535397,0.06482119899595132,71
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.009014376641039665,0.0,-0.009991158567834573,-0.002548823886959111,0.33495059900606616,4
"('red_busy', 'left')",0.0,0.0,0.0,-0.002434051160801165,0.7530424137433194,1
"('red_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.26380916209715677,-0.02970082126,-0.029473304382954885,-0.010621326173875144,0.015002784397765949,616
"('red_clear', 'left')",0.04424911014057936,-0.019779536180252452,-0.01,-0.004821794,0.0058205027769162865,112
"('red_clear', 'right')",0.0003519987661536,-0.029009140217362055,0.0,1.1364043892292486,0.05866293223690461,75
