"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.9859616206787646,0.634893614864446,0.0,0.9993192973725304,2
"('green_busy', 'left')",0.5303699541994383,0.0,0.0,0.0,0.997525724266328,1
"('green_busy', 'right')",0.0,0.0,0.7286134437723515,0.0,0.9996577490624874,1
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",7.344948214910904,9.855777331597311,8.02613979636033,7.45294819909115,0.49199521564672266,365
"('green_clear', 'left')",6.527749938319489,6.51068491553123,10.02712643581698,7.466466739894469,0.645218303958893,196
"('green_clear', 'right')",8.42469507081563,8.284177464461099,7.274295234801926,10.84094525756301,0.3541019182932137,346
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.25298010416152894,1.3901173876219057,-0.08896461916427839,0.0,0.7555723260802825,8
"('red_busy', 'left')",0.0,-0.1,0.0,0.46543176374212936,0.8944316549796681,2
"('red_busy', 'right')",0.0,0.5539361497280803,0.0,1.0634374942242546,0.9985203415615557,2
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",6.790739596980253,5.756474986633069,5.525834125429262,8.03640768898478,0.2854750091529986,417
"('red_clear', 'left')",5.333144681826009,4.64728668265613,4.738339626457817,9.090427565698668,0.2145404307903458,208
"('red_clear', 'right')",9.127903775119709,7.842186982643842,8.293696276062734,11.438353028794747,0.31289256725394904,398
