"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.018868545053053576,0.0,0.0,-0.240261948835179,0.2480425480074219,5
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.0,2.00459058083083,0.0,-0.25,0.0026680466820935755,337
"('green_clear', 'left')",0.008220065742535568,-0.42613104119321,2.0088718704935955,-0.3749746477494729,0.002636136364357054,62
"('green_clear', 'right')",0.0,-0.37,-0.3649958038453984,2.016180432803373,0.0027589199680584037,57
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.010689782367178527,0.0,0.0,-0.3648815029785839,0.15121350726264596,7
"('red_busy', 'left')",0.0,0.0,0.0,-0.24992091540467337,0.7810785176878815,1
"('red_busy', 'right')",0.0,-0.8598545366230546,-0.75,0.0,0.33735595836347587,5
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.011405493088536542,-0.8649476097301361,-0.5,-0.245,0.002887751769410568,536
"('red_clear', 'left')",0.01099342008971422,-0.75,-0.9375,-0.25,0.0028845154263858024,132
"('red_clear', 'right')",0.0,-0.7399738291089991,-0.5,2.0091378335770402,0.0028544025566056954,69
