"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'left')",0.0,0.0,-0.028330891204411214,0.0,0.7570808284518408,1
"('green_busy', 'right')",0.07497622372551979,0.0,0.0,0.0,0.7687090119031371,1
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.18905519671985557,2.3774227986251155,-0.05335763682500577,-0.11527268687426936,0.035106543530844594,350
"('green_clear', 'left')",0.07613433937430691,-0.08417372216805497,2.3647603653604787,-0.020007649667132744,0.032001380908884804,76
"('green_clear', 'right')",0.034928784864265226,-0.015396889549411943,-0.044000000000000004,2.458798714714673,0.033013367452749603,62
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.0,0.0,-0.09988849606172513,-0.017053942711755744,0.34558026675449727,4
"('red_busy', 'left')",0.0,-0.1,0.0,0.023099179752544455,0.5869615170596478,2
"('red_busy', 'right')",0.0,0.0,0.0,0.20349784750105238,0.8001836422833741,1
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.35668277243113244,-0.3521061046261461,-0.42100645037683593,-0.06901252705886296,0.03325929391778426,588
"('red_clear', 'left')",0.35032200898926164,-0.1,-0.33491113610682877,-0.010143558059155885,0.03152513817591528,120
"('red_clear', 'right')",0.0,-0.19572587258648116,-0.11536951394807916,2.4464278329171676,0.03277740825173278,82
