"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.3524439828481715,0.0,0.0,-0.07750000000000001,0.6133670469172117,2
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.7037090709892635,2.3194798641081,0.19637742255398963,-0.18621789306908135,0.08709513372223981,326
"('green_clear', 'left')",0.3471631227987734,-0.25,2.2137359732868136,0.23632618934140004,0.07253058902542554,64
"('green_clear', 'right')",0.6189072679885881,0.2308491426049912,0.05014663530853905,2.7347323961084626,0.04523643214535113,127
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.0,-0.18387840763432278,0.0,0.14656166154540573,0.5979776771231792,2
"('red_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'right')",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.5706750576653701,-0.5482084411906769,-0.5290652155152396,0.18542694599004522,0.08146622422577027,485
"('red_clear', 'left')",0.5787741439911667,-0.5637667049958974,-0.8484113874581015,-0.03598781434763049,0.08544618922937597,110
"('red_clear', 'right')",0.6299432637552784,-0.23134530754907626,-0.19565291528918363,2.7321608323910436,0.040573498547496936,120
