"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,200.5,0.0,1.0,1
"('green_busy', 'left')",0.0,0.0,8.0,182.0,1.0,2
"('green_busy', 'right')",12.5,0.0,0.0,218.0,1.0,2
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",243.0,246.5,244.5,250.5,0.8852526237796852,312
"('green_clear', 'left')",251.0,250.5,250.0,250.5,0.5191302723030082,381
"('green_clear', 'right')",253.0,251.0,250.5,253.0,0.9947171354244783,563
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",16.0,0.0,0.0,52.0,1.0,2
"('red_busy', 'left')",183.5,193.0,230.5,118.0,0.81488037109375,8
"('red_busy', 'right')",220.0,219.0,219.0,238.5,0.8623254299163818,13
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",244.5,238.0,211.0,249.5,0.6596534013377574,348
"('red_clear', 'left')",251.0,247.5,249.0,220.5,0.08802182084662111,411
"('red_clear', 'right')",253.5,249.5,244.0,248.5,0.9856286078713934,600
