"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.39563933735198625,0.061424675606079115,0.0,0.0,0.8589544354084719,2
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.7096066536200252,2.4325076853144645,0.24025813423012946,-0.3249628725698468,0.4107831402617535,369
"('green_clear', 'left')",0.7185888044570922,-0.23421390545025395,2.4666812692533586,0.2872643497637984,0.48146260917409356,187
"('green_clear', 'right')",0.8204097599082292,0.14776116751474488,0.2840681404034136,2.7700967375257255,0.3888384945567287,275
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.21844968658303668,0.0,-0.5,0.2025266602162835,0.6945420150535249,5
"('red_busy', 'left')",0.0,-0.33899498842306774,-0.1266478507268422,0.0,0.8052338881025173,3
"('red_busy', 'right')",0.0,0.0,-0.3833755739716555,1.3636407698251674,0.7738811757874751,4
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.08570319457276915,-0.898199476836472,-0.4107682769352223,0.07424717680574619,0.4342014582278744,504
"('red_clear', 'left')",0.10826849370514675,-0.6791212402478825,-0.9321645550689819,0.24535309370163977,0.3208809121555741,191
"('red_clear', 'right')",0.7942285580221446,-0.23214638803467466,-0.19198979574739256,2.623328092324429,0.5850679068421607,301
