"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.0,0.0,5.147223801453613,0.0,0.9999830903924462,1
"('green_busy', 'left')",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'right')",0.0,0.0,4.431229581968583,1.88875,0.991541190791432,2
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",8.486625175652392,10.062992888401515,9.147547961538514,9.123459462813683,0.37378032756705143,348
"('green_clear', 'left')",9.568387579778168,9.38028898244223,10.15071766530874,9.996537306110085,0.2826395137731272,183
"('green_clear', 'right')",10.282470822308031,10.30827172013208,9.760349757900169,10.676348223931793,0.4947327104511013,410
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.0,1.0863091430191298,6.8015273427681695,5.800075185296995,0.9681347394647224,5
"('red_busy', 'left')",0.0,0.0,0.0,4.7966551585793304,0.9999659106547576,1
"('red_busy', 'right')",0.0,-0.5,-0.5,10.94941601819129,0.7841867244222962,6
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",8.163807981995813,7.444607062842355,6.840466286694797,8.899120796987145,0.22096978456382124,443
"('red_clear', 'left')",9.159697619966234,8.148603177039,8.874061115649965,10.589239823945483,0.1924713673507109,241
"('red_clear', 'right')",10.433703377422647,9.529761513699441,9.078373205093683,12.29468445055906,0.27717477399264834,454
