"('Intersection', 'Waypoint')",None,forward,left,right,E(s),Hit(s)
"('green_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_busy', 'forward')",0.22220200022202224,0.0,0.0,0.0,0.9999999998880924,1
"('green_busy', 'left')",0.0,-0.29999997777777976,0.0,0.0,0.9999999999999533,1
"('green_busy', 'right')",0.0,0.0,-0.77799977777978,2.000202020202,1.0,2
"('green_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('green_clear', 'forward')",0.22202000022022222,2.022020000220222,-0.2797797999977978,-0.47797797999977976,0.4251635888290495,390
"('green_clear', 'left')",2.2022022220020207e-06,-0.47977977779979797,2.202202000022022,-0.2777797999977978,0.7713384224665002,227
"('green_clear', 'right')",0.2022020000220222,-0.27799997797778,-0.2999797999977978,2.222202000022022,0.6494024999970012,323
"('red_busy', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_busy', 'forward')",0.0,0.0,0.0,-0.4997999799979798,0.8125,2
"('red_busy', 'left')",0.20020220022222002,-0.7779979779799797,-1.0,-0.2777777799979998,0.8593749989536049,6
"('red_busy', 'right')",0.020000000000000004,0.0,-0.7779979799997998,0.0,0.9999999937090582,3
"('red_clear', None)",0.0,0.0,0.0,0.0,1.0,0
"('red_clear', 'forward')",0.2022020000220222,-0.9779799997797778,-0.9779799997797778,-0.4999997797797778,0.5333177738287134,475
"('red_clear', 'left')",0.2022020000220222,-0.9779779799997798,-0.99997797797778,-0.27779799997797777,0.684217320650444,322
"('red_clear', 'right')",0.22020000220222202,-0.7777979999779778,-0.7999797999977978,2.220220200002202,0.17220151843949325,356
