deadline,distance,steps,rewards,penalties
35,7,35,0.0,-10.0
50,10,37,24.5,-3.5
25,5,7,20.0,0
30,6,30,8.0,-6.0
35,7,12,24.0,0
25,5,12,18.0,-2.0
40,8,26,28.5,-3.5
30,6,13,19.5,-0.5
45,9,33,31.0,-1.0
25,5,16,25.5,-0.5
25,5,6,20.0,0
40,8,17,26.5,-1.5
45,9,16,27.0,-1.0
30,6,14,27.5,-0.5
20,4,7,18.0,0
25,5,9,20.0,0
40,8,16,25.0,-1.0
25,5,17,19.0,-1.0
30,6,10,19.5,-0.5
30,6,10,22.0,0
30,6,22,27.5,-0.5
25,5,16,20.0,0
20,4,13,18.0,0
30,6,19,27.5,-0.5
50,10,17,29.0,-1.0
35,7,13,24.0,0
20,4,12,21.5,-2.5
40,8,16,30.0,0
35,7,22,29.5,-0.5
40,8,21,26.5,-1.5
40,8,15,26.0,0
40,8,15,23.5,-0.5
35,7,18,23.0,-1.0
25,5,11,20.0,0
20,4,6,18.0,0
25,5,16,20.0,0
30,6,17,26.5,-1.5
25,5,16,18.5,-3.5
25,5,10,20.0,0
30,6,2,14.0,0
20,4,8,22.0,0
20,4,9,23.5,-0.5
40,8,25,37.0,-1.0
50,10,12,22.0,0
35,7,14,24.0,0
40,8,23,25.5,-2.5
40,8,16,26.0,0
30,6,12,22.0,0
20,4,4,18.0,0
40,8,21,23.0,-3.0
30,6,9,22.0,0
55,11,19,24.0,0
30,6,30,16.5,-5.5
35,7,16,24.0,0
20,4,6,18.0,0
20,4,4,18.0,0
35,7,17,24.0,0
50,10,22,36.0,-2.0
25,5,18,25.5,-0.5
30,6,14,22.0,0
45,9,21,17.5,-4.5
35,7,11,24.0,0
35,7,16,24.0,0
25,5,8,20.0,0
30,6,13,22.0,0
25,5,7,24.0,0
25,5,7,20.0,0
30,6,9,22.0,0
30,6,17,25.0,-1.0
40,8,23,24.0,-2.0
30,6,16,21.0,-1.0
25,5,12,19.0,-1.0
35,7,13,29.5,-0.5
30,6,12,22.0,0
35,7,13,24.0,0
35,7,13,23.0,-1.0
25,5,10,20.0,0
45,9,22,28.0,0
30,6,12,19.5,-0.5
30,6,14,19.5,-0.5
30,6,11,22.0,0
20,4,9,17.0,-1.0
40,8,17,26.0,0
20,4,6,17.0,-1.0
20,4,9,18.5,-1.5
25,5,21,19.0,-1.0
20,4,7,18.0,0
25,5,16,20.0,0
25,5,7,20.0,0
30,6,12,22.0,0
30,6,12,22.0,0
25,5,15,24.5,-1.5
30,6,9,22.0,0
35,7,25,27.5,-2.5
20,4,9,18.0,0
20,4,6,18.0,0
30,6,16,25.0,-1.0
25,5,11,24.0,0
20,4,6,18.0,0
25,5,5,20.0,0
