deadline,distance,steps,rewards,penalties
30,6,30,-3.0,-11.0
20,4,20,-5.0,-11.0
20,4,10,16.0,-2.0
40,8,28,10.0,-12.0
20,4,20,-3.0,-11.0
40,8,40,-4.5,-14.5
30,6,30,-3.5,-9.5
30,6,13,11.0,-2.5
25,5,25,5.0,-5.0
20,4,20,3.0,-7.0
20,4,20,-3.5,-7.5
55,11,55,0.5,-21.5
35,7,35,1.5,-14.5
25,5,25,-1.5,-11.5
50,10,50,1.0,-21.0
30,6,30,2.0,-12.0
35,7,24,18.5,-7.5
35,7,35,2.5,-9.5
25,5,25,11.0,-5.0
20,4,20,3.0,-5.0
30,6,30,10.0,-10.0
20,4,20,1.5,-4.5
30,6,30,8.0,-6.0
30,6,30,-2.0,-10.0
45,9,27,9.0,-11.0
30,6,30,-2.0,-6.0
30,6,30,-1.0,-1.0
30,6,30,0.0,0
30,6,30,0.0,0
30,6,30,1.5,-4.5
30,6,30,0.0,0
30,6,30,2.0,0
25,5,11,8.5,-5.5
35,7,6,4.5,-5.0
20,4,20,-4.0,-10.0
25,5,25,-0.5,-10.5
35,7,35,6.0,-12.0
30,6,30,2.0,-14.0
20,4,20,-5.0,-9.0
30,6,30,1.0,-7.0
20,4,20,-5.5,-7.5
35,7,35,11.5,-4.5
30,6,30,-1.0,-7.0
25,5,25,-6.5,-6.5
25,5,25,-0.5,-0.5
35,7,35,-3.5,-3.5
25,5,25,0.0,0
35,7,35,2.5,-1.5
30,6,30,-0.5,-0.5
25,5,25,2.0,-8.0
20,4,20,0.0,0
35,7,35,1.5,-2.5
20,4,20,0.0,0
20,4,20,-1.0,-3.0
20,4,20,-4.0,-6.0
20,4,20,0.0,0
20,4,20,-0.5,-0.5
30,6,30,-2.0,-4.0
20,4,20,0.0,0
25,5,25,-0.5,-0.5
25,5,25,0.0,0
20,4,20,0.0,0
35,7,35,0.0,0
25,5,25,0.0,0
20,4,20,0.0,0
20,4,20,0.0,0
20,4,20,-2.0,-2.0
35,7,35,0.0,0
45,9,45,0.0,0
20,4,20,-2.5,-2.5
40,8,40,-0.5,-0.5
35,7,35,-1.5,-1.5
30,6,30,-2.5,-4.5
30,6,30,-1.5,-1.5
35,7,35,1.0,-5.0
40,8,40,-0.5,-6.5
35,7,35,-0.5,-2.5
25,5,25,2.0,-8.0
20,4,20,3.0,-1.0
25,5,25,0.0,-8.0
35,7,35,-0.5,-0.5
25,5,25,-0.5,-6.5
30,6,30,0.0,0
20,4,13,10.5,-5.5
20,4,20,2.5,-3.5
25,5,25,-1.5,-11.5
25,5,25,2.5,-1.5
20,4,20,0.0,0
30,6,30,-4.5,-6.5
30,6,30,-0.5,-0.5
30,6,30,-0.5,-0.5
35,7,35,0.0,0
45,9,45,1.0,-1.0
20,4,20,0.0,0
20,4,20,6.5,-7.5
35,7,35,-1.0,-1.0
30,6,30,-1.0,-1.0
20,4,20,3.5,-2.5
20,4,20,-1.5,-1.5
20,4,20,1.0,-1.0
