deadline,distance,steps,rewards,penalties
20,4,20,-5.5,-9.5
20,4,20,14.0,-4.0
20,4,9,19.5,-0.5
55,11,20,29.5,-0.5
35,7,13,24.0,0
35,7,13,24.0,0
50,10,22,30.0,0
30,6,14,26.0,0
20,4,4,18.0,0
30,6,13,22.0,0
25,5,8,20.0,0
25,5,7,20.0,0
25,5,8,20.0,0
20,4,9,18.0,0
25,5,13,24.0,0
20,4,13,21.0,-1.0
20,4,13,17.0,-1.0
25,5,16,19.0,-1.0
30,6,10,19.5,-0.5
40,8,7,22.0,0
35,7,14,16.5,-1.5
35,7,18,24.0,0
20,4,14,18.0,0
25,5,10,20.0,0
30,6,16,22.0,0
35,7,21,28.0,0
40,8,17,27.5,-0.5
35,7,14,21.5,-0.5
25,5,18,20.0,0
35,7,20,24.0,0
45,9,19,29.5,-0.5
35,7,16,21.5,-0.5
25,5,16,22.0,-2.0
45,9,22,29.5,-0.5
35,7,13,24.0,0
30,6,11,19.0,-3.0
20,4,9,18.0,0
20,4,6,18.0,0
30,6,10,22.0,0
30,6,16,22.0,0
30,6,17,22.5,-1.5
30,6,14,22.0,0
20,4,8,22.0,0
20,4,8,18.0,0
25,5,16,20.0,0
20,4,9,18.0,0
25,5,5,20.0,0
30,6,13,21.0,-1.0
25,5,5,20.0,0
20,4,10,18.0,0
20,4,11,22.0,0
25,5,10,20.0,0
20,4,10,18.0,0
20,4,9,19.5,-0.5
35,7,8,20.0,0
20,4,11,18.0,0
25,5,6,20.0,0
35,7,18,24.0,0
50,10,21,27.5,-0.5
20,4,4,18.0,0
30,6,11,22.0,0
20,4,6,18.0,0
35,7,17,24.0,0
20,4,10,22.0,0
20,4,8,18.0,0
20,4,4,18.0,0
25,5,12,20.0,0
50,10,21,30.0,0
40,8,15,26.0,0
40,8,19,26.0,0
30,6,12,22.0,0
30,6,8,22.0,0
35,7,21,24.0,0
25,5,10,20.0,0
20,4,9,18.0,0
25,5,11,20.0,0
40,8,21,26.0,0
25,5,11,24.0,0
20,4,4,18.0,0
25,5,11,19.0,-1.0
35,7,10,24.0,0
40,8,16,26.0,0
40,8,16,26.0,0
35,7,7,20.0,0
25,5,14,20.0,0
25,5,9,20.0,0
45,9,13,25.5,-0.5
20,4,7,18.0,0
20,4,9,18.0,0
30,6,16,22.0,0
30,6,17,22.0,0
20,4,4,18.0,0
35,7,16,24.0,0
30,6,13,22.0,0
20,4,13,18.0,0
30,6,6,22.0,0
30,6,7,22.0,0
40,8,10,30.0,0
20,4,9,18.0,0
40,8,20,30.0,0
