deadline,distance,steps,rewards,penalties
35,7,35,-9.0,-15.0
30,6,18,22.0,0
20,4,11,18.0,0
20,4,8,18.0,0
35,7,18,24.0,0
25,5,17,16.5,-1.5
30,6,9,22.0,0
40,8,18,27.5,-0.5
20,4,11,18.0,0
45,9,15,28.0,0
20,4,9,17.0,-1.0
30,6,29,26.5,-1.5
20,4,12,17.0,-1.0
20,4,11,18.0,0
20,4,10,18.0,0
25,5,15,24.0,0
25,5,25,12.0,-2.0
25,5,10,20.0,0
40,8,40,14.0,-2.0
40,8,26,25.0,-1.0
20,4,7,17.0,-1.0
20,4,20,9.5,-2.5
35,7,23,27.0,-1.0
25,5,8,19.0,-1.0
40,8,31,29.0,-1.0
35,7,20,24.0,0
45,9,34,34.0,-2.0
25,5,17,27.0,-1.0
25,5,21,24.5,-1.5
45,9,25,29.5,-0.5
20,4,20,11.5,-0.5
25,5,12,20.0,0
40,8,19,26.0,0
55,11,14,32.0,0
30,6,22,23.5,-0.5
25,5,25,12.0,0
20,4,10,18.0,0
40,8,23,25.0,-1.0
30,6,16,21.0,-1.0
25,5,14,21.5,-0.5
20,4,11,19.5,-0.5
30,6,21,22.0,0
50,10,43,45.0,-1.0
55,11,17,21.5,-0.5
35,7,8,17.5,-0.5
20,4,7,15.5,-0.5
30,6,17,25.5,-2.5
55,11,36,33.5,-0.5
45,9,36,24.5,-1.5
25,5,13,19.0,-1.0
25,5,11,20.0,0
50,10,26,35.5,-0.5
25,5,11,17.5,-0.5
25,5,13,20.0,0
25,5,8,20.0,0
30,6,17,21.0,-1.0
20,4,13,22.0,0
25,5,17,19.0,-1.0
25,5,21,21.5,-0.5
50,10,18,30.0,0
40,8,13,13.5,-2.5
25,5,5,17.5,-0.5
20,4,18,19.5,-0.5
35,7,13,19.0,-1.0
40,8,32,27.0,-3.0
25,5,12,20.5,-1.5
25,5,17,19.0,-1.0
25,5,18,24.0,0
25,5,14,20.0,0
35,7,34,27.5,-2.5
35,7,17,24.0,0
20,4,8,18.0,0
30,6,12,23.5,-0.5
40,8,17,27.5,-0.5
20,4,20,10.0,0
25,5,13,19.0,-1.0
20,4,12,17.0,-1.0
35,7,18,23.0,-1.0
35,7,21,27.0,-1.0
30,6,6,22.0,0
35,7,21,23.0,-1.0
45,9,17,27.0,-1.0
35,7,21,23.0,-1.0
40,8,40,39.5,-0.5
25,5,16,24.0,0
25,5,6,20.0,0
30,6,11,22.0,0
20,4,14,19.5,-0.5
30,6,21,23.5,-0.5
40,8,18,26.0,0
35,7,16,24.0,0
30,6,11,22.0,0
25,5,13,25.5,-0.5
30,6,23,26.5,-1.5
25,5,25,14.0,-2.0
30,6,16,22.0,0
35,7,12,15.0,-1.0
25,5,16,20.0,0
20,4,16,31.5,-0.5
20,4,6,18.0,0
