deadline,distance,steps,rewards,penalties
35,7,35,7.0,-11.0
35,7,35,24.5,-3.5
20,4,20,-3.5,-5.5
45,9,22,23.0,-1.0
25,5,18,24.5,-1.5
35,7,31,32.0,-4.0
20,4,11,18.0,0
25,5,16,21.0,-3.0
40,8,40,15.0,-5.0
20,4,9,17.0,-1.0
30,6,6,11.5,-0.5
30,6,14,16.0,-2.0
20,4,10,19.5,-0.5
25,5,14,19.5,-2.5
40,8,37,32.5,-7.5
35,7,33,26.5,-3.5
30,6,30,17.5,-6.5
20,4,9,18.0,0
30,6,25,23.5,-0.5
50,10,26,33.0,-1.0
25,5,15,24.5,-1.5
35,7,14,24.0,0
20,4,20,2.0,-2.0
40,8,15,26.0,0
45,9,32,24.0,-8.0
45,9,45,13.0,-3.0
30,6,21,19.0,-3.0
20,4,6,22.0,0
25,5,15,20.5,-1.5
35,7,35,22.5,-3.5
30,6,17,22.0,0
35,7,29,27.0,-1.0
20,4,12,19.5,-0.5
30,6,14,22.0,0
35,7,20,19.0,-1.0
40,8,26,24.5,-3.5
25,5,25,5.5,-4.5
30,6,13,23.5,-0.5
45,9,26,25.5,-0.5
25,5,9,19.0,-1.0
20,4,6,22.0,0
20,4,11,17.0,-1.0
25,5,12,19.0,-1.0
35,7,24,26.5,-3.5
40,8,5,15.5,-0.5
25,5,20,19.0,-1.0
20,4,11,16.0,-2.0
35,7,12,21.5,-0.5
40,8,13,26.0,0
30,6,10,14.5,-1.5
25,5,5,20.0,0
25,5,21,27.5,-2.5
25,5,6,20.0,0
30,6,15,19.5,-4.5
20,4,7,18.0,0
30,6,30,18.5,-3.5
20,4,7,17.0,-1.0
30,6,21,21.5,-2.5
30,6,30,15.0,-3.0
35,7,21,25.5,-0.5
40,8,16,23.5,-0.5
25,5,9,21.5,-0.5
20,4,19,18.0,0
20,4,5,15.5,-0.5
35,7,13,19.5,-2.5
20,4,13,18.0,0
25,5,25,18.0,-4.0
45,9,36,42.0,-2.0
30,6,14,25.0,-1.0
25,5,19,23.0,-1.0
30,6,20,29.0,-1.0
35,7,35,13.0,-5.0
20,4,12,18.5,-1.5
35,7,17,22.0,-2.0
25,5,5,20.0,0
35,7,13,23.0,-1.0
20,4,11,19.5,-0.5
40,8,21,26.0,0
30,6,16,21.0,-1.0
35,7,17,28.0,0
25,5,13,20.0,0
20,4,6,18.0,0
45,9,21,26.0,-2.0
30,6,13,19.5,-0.5
20,4,7,14.5,-1.5
35,7,11,19.0,-1.0
20,4,10,18.0,0
25,5,11,19.0,-1.0
20,4,11,17.0,-1.0
30,6,11,20.0,-2.0
35,7,14,19.0,-1.0
20,4,11,19.5,-0.5
35,7,12,23.0,-1.0
25,5,3,16.0,0
40,8,19,26.0,0
25,5,11,25.5,-0.5
40,8,21,23.5,-0.5
20,4,10,18.0,0
30,6,21,29.0,-1.0
35,7,12,24.0,0
