deadline,distance,steps,rewards,penalties
50,10,50,3.0,-15.0
30,6,15,22.0,0
40,8,9,14.5,-1.0
25,5,13,20.0,0
30,6,11,22.0,0
30,6,17,22.0,0
30,6,15,22.0,0
25,5,13,19.0,-1.0
35,7,22,29.5,-0.5
30,6,14,22.0,0
30,6,30,15.5,-0.5
30,6,16,19.5,-0.5
20,4,16,18.0,0
20,4,8,18.0,0
55,11,17,27.0,-1.0
35,7,23,28.0,0
25,5,10,20.0,0
25,5,6,20.0,0
35,7,35,20.5,-1.5
20,4,4,18.0,0
25,5,11,20.0,0
30,6,13,22.0,0
30,6,13,25.0,-1.0
20,4,7,18.0,0
30,6,26,23.5,-0.5
25,5,10,20.0,0
40,8,11,26.0,0
30,6,15,22.0,0
45,9,19,28.0,0
20,4,7,18.0,0
30,6,19,27.5,-0.5
35,7,35,18.0,-2.0
20,4,13,14.5,-1.5
20,4,11,21.0,-1.0
40,8,21,26.5,-1.5
30,6,30,15.5,-2.5
30,6,2,11.5,0
25,5,12,21.5,-0.5
25,5,16,16.5,-1.5
45,9,21,27.0,-1.0
25,5,19,23.0,-1.0
30,6,21,21.5,-2.5
20,4,10,18.0,0
30,6,25,27.5,-0.5
20,4,13,17.0,-1.0
35,7,17,20.0,-4.0
20,4,10,18.0,0
40,8,21,26.0,0
25,5,19,19.0,-1.0
45,9,34,35.0,-1.0
45,9,27,26.0,-2.0
40,8,18,21.5,-2.5
25,5,7,20.0,0
35,7,6,11.0,-1.0
35,7,23,26.0,-2.0
20,4,20,3.0,-3.0
25,5,5,20.0,0
20,4,9,18.0,0
30,6,22,25.0,-1.0
25,5,12,16.5,-1.5
20,4,12,18.0,0
30,6,21,26.0,0
30,6,30,17.0,-1.0
40,8,27,25.0,-1.0
35,7,17,24.0,0
35,7,10,24.0,0
20,4,10,18.0,0
35,7,26,31.0,-1.0
25,5,12,17.5,-0.5
35,7,30,32.5,-1.5
25,5,12,19.0,-1.0
20,4,11,18.0,0
30,6,30,20.5,-1.5
45,9,28,26.5,-3.5
40,8,18,29.0,-1.0
35,7,12,21.5,-0.5
20,4,10,18.0,0
35,7,23,27.5,-2.5
20,4,6,18.0,0
25,5,14,20.5,-1.5
20,4,8,18.0,0
25,5,25,9.5,-2.5
25,5,18,25.5,-0.5
40,8,14,26.0,0
30,6,12,21.0,-1.0
25,5,21,25.5,-0.5
35,7,16,24.5,-1.5
50,10,50,31.0,-5.0
25,5,12,20.0,0
20,4,14,19.5,-0.5
30,6,13,20.0,-2.0
20,4,11,18.5,-1.5
35,7,22,25.5,-0.5
30,6,30,8.5,-3.5
25,5,25,8.5,-3.5
20,4,16,16.0,-2.0
35,7,17,27.0,-1.0
20,4,10,17.0,-1.0
50,10,21,29.0,-1.0
25,5,5,20.0,0
