deadline,distance,steps,rewards,penalties
20,4,20,5.5,-4.5
40,8,13,25.0,-1.0
40,8,36,26.5,-5.5
30,6,16,23.0,-3.0
35,7,12,21.5,-0.5
35,7,10,24.0,0
45,9,18,27.0,-1.0
25,5,19,25.5,-0.5
20,4,12,19.5,-0.5
35,7,22,25.5,-0.5
30,6,17,26.0,0
30,6,6,22.0,0
20,4,7,18.0,0
30,6,6,22.0,0
20,4,20,5.5,-0.5
30,6,14,22.0,0
20,4,4,15.5,-0.5
45,9,19,27.0,-1.0
20,4,11,18.0,0
40,8,13,26.0,0
25,5,8,20.0,0
30,6,16,22.0,0
30,6,9,22.0,0
35,7,21,24.0,0
35,7,19,24.0,0
20,4,10,22.0,0
20,4,9,18.0,0
30,6,11,22.0,0
20,4,10,22.0,0
20,4,9,18.0,0
20,4,20,15.0,-1.0
25,5,13,21.5,-0.5
20,4,12,18.0,0
30,6,12,22.0,0
25,5,10,19.0,-1.0
25,5,11,20.0,0
40,8,17,27.5,-0.5
30,6,9,22.0,0
35,7,21,24.0,0
25,5,15,17.5,-0.5
25,5,10,20.0,0
25,5,6,20.0,0
45,9,23,35.0,-1.0
25,5,16,24.0,0
40,8,13,26.0,0
40,8,25,26.0,0
40,8,14,26.0,0
30,6,13,22.0,0
20,4,8,23.5,-0.5
30,6,17,24.0,-2.0
25,5,12,20.0,0
40,8,14,19.5,-0.5
30,6,17,22.0,0
30,6,13,22.0,0
20,4,8,19.5,-0.5
30,6,17,20.0,-2.0
25,5,9,20.0,0
20,4,10,22.0,0
35,7,13,24.0,0
30,6,18,23.5,-0.5
45,9,37,40.5,-1.5
20,4,7,18.0,0
20,4,20,15.5,-0.5
25,5,11,19.0,-1.0
40,8,13,30.0,0
35,7,19,24.0,0
20,4,11,18.0,0
30,6,13,22.0,0
35,7,35,37.5,-0.5
20,4,9,22.0,0
30,6,13,22.0,0
25,5,14,20.0,0
20,4,5,15.5,-0.5
40,8,17,30.0,0
20,4,7,15.5,-0.5
50,10,34,35.5,-0.5
35,7,13,24.0,0
20,4,8,18.0,0
25,5,13,20.0,0
20,4,13,18.5,-1.5
40,8,19,26.0,0
40,8,21,26.0,0
20,4,4,18.0,0
25,5,4,15.0,-1.0
30,6,21,27.5,-0.5
40,8,26,26.0,0
25,5,13,20.0,0
35,7,21,28.0,0
20,4,8,18.0,0
35,7,16,24.0,0
20,4,16,18.0,0
20,4,4,18.0,0
40,8,21,26.0,0
30,6,16,25.0,-1.0
45,9,31,31.5,-2.5
25,5,8,19.0,-1.0
20,4,10,18.0,0
50,10,20,30.0,0
30,6,11,26.0,0
25,5,10,19.0,-1.0
