deadline,distance,steps,rewards,penalties
25,5,24,14.5,-7.5
30,6,21,17.0,-5.0
20,4,16,17.0,-1.0
30,6,30,12.5,-1.5
25,5,25,11.0,-1.0
30,6,19,22.0,0
30,6,26,22.0,0
25,5,9,20.0,0
40,8,16,26.0,0
20,4,10,18.0,0
25,5,16,20.0,0
30,6,18,21.0,-1.0
50,10,20,30.0,0
50,10,23,30.0,0
35,7,19,21.5,-0.5
30,6,13,22.0,0
25,5,18,20.0,0
20,4,16,19.5,-0.5
30,6,12,18.0,0
30,6,11,19.5,-0.5
25,5,15,23.0,-1.0
40,8,17,22.5,-1.5
30,6,21,22.0,0
25,5,13,19.0,-1.0
25,5,21,19.0,-1.0
20,4,13,18.0,0
25,5,11,20.0,0
30,6,16,22.0,0
35,7,17,24.0,0
40,8,14,26.0,0
20,4,9,18.0,0
20,4,8,18.0,0
20,4,6,18.0,0
25,5,9,20.0,0
45,9,17,28.0,0
45,9,26,29.5,-0.5
20,4,7,18.0,0
40,8,29,30.0,0
20,4,12,26.0,0
30,6,10,22.0,0
30,6,16,22.0,0
35,7,17,24.0,0
35,7,21,24.0,0
20,4,18,19.5,-0.5
20,4,20,6.0,0
40,8,26,26.0,0
30,6,12,22.0,0
25,5,23,27.0,-1.0
40,8,22,26.0,0
40,8,22,26.0,0
25,5,9,20.0,0
25,5,9,20.0,0
40,8,40,29.0,-1.0
25,5,20,24.0,0
40,8,17,26.0,0
20,4,20,18.0,0
35,7,19,28.0,0
20,4,13,18.0,0
35,7,16,24.0,0
35,7,23,24.0,0
40,8,14,26.0,0
40,8,19,26.0,0
20,4,5,18.0,0
20,4,12,18.0,0
25,5,13,20.0,0
35,7,13,24.0,0
25,5,16,20.0,0
50,10,23,29.0,-1.0
20,4,13,18.0,0
20,4,10,18.0,0
35,7,22,24.0,0
45,9,19,28.0,0
30,6,17,22.0,0
25,5,25,20.0,0
35,7,11,24.0,0
40,8,13,26.0,0
55,11,29,32.0,0
35,7,22,24.0,0
20,4,14,22.0,0
45,9,29,28.0,0
40,8,13,26.0,0
40,8,31,30.5,-1.5
25,5,15,20.0,0
40,8,20,26.0,0
20,4,5,18.0,0
35,7,18,24.0,0
30,6,8,22.0,0
20,4,7,18.0,0
20,4,8,18.0,0
35,7,22,24.0,0
25,5,13,20.0,0
25,5,11,20.0,0
25,5,13,24.0,0
40,8,23,26.0,0
35,7,21,24.0,0
35,7,17,24.0,0
20,4,11,18.0,0
20,4,6,18.0,0
30,6,16,22.0,0
20,4,17,22.0,0
