deadline,distance,steps,rewards,penalties
25,5,25,-9.0,-11.0
20,4,20,4.5,-1.5
20,4,13,21.0,-1.0
20,4,16,18.0,0
35,7,11,24.0,0
45,9,17,28.0,0
45,9,25,33.5,-0.5
45,9,21,28.0,0
40,8,14,30.0,0
20,4,20,6.5,-1.5
30,6,15,22.0,0
20,4,8,18.0,0
20,4,11,20.0,-2.0
20,4,13,18.0,0
35,7,10,24.0,0
35,7,13,24.0,0
25,5,11,20.0,0
20,4,10,18.0,0
25,5,6,20.0,0
20,4,11,18.0,0
45,9,15,28.0,0
30,6,9,18.0,0
30,6,17,26.0,0
40,8,26,26.0,0
45,9,5,20.0,0
50,10,15,30.0,0
30,6,12,22.0,0
45,9,11,28.0,0
25,5,6,20.0,0
30,6,12,22.0,0
25,5,8,20.0,0
40,8,13,26.0,0
20,4,16,18.0,0
20,4,4,18.0,0
20,4,11,18.0,0
45,9,25,28.0,0
25,5,17,23.0,-1.0
20,4,4,18.0,0
40,8,17,30.0,0
30,6,11,22.0,0
30,6,9,22.0,0
20,4,6,18.0,0
20,4,4,18.0,0
45,9,22,28.0,0
45,9,19,32.0,0
20,4,6,18.0,0
35,7,21,28.0,0
40,8,16,26.0,0
25,5,10,24.0,0
25,5,7,20.0,0
25,5,13,24.0,0
25,5,21,20.0,0
20,4,11,18.0,0
45,9,18,28.0,0
50,10,25,30.0,0
25,5,9,20.0,0
20,4,5,18.0,0
35,7,7,24.0,0
20,4,4,18.0,0
35,7,21,24.0,0
30,6,11,26.0,0
25,5,13,20.0,0
40,8,17,24.0,-2.0
40,8,17,26.0,0
40,8,16,26.0,0
40,8,13,26.0,0
35,7,18,24.0,0
20,4,20,13.0,-1.0
20,4,9,18.0,0
30,6,11,22.0,0
40,8,11,26.0,0
20,4,7,18.0,0
30,6,13,22.0,0
25,5,10,20.0,0
25,5,10,20.0,0
40,8,12,26.0,0
25,5,21,20.0,0
25,5,11,20.0,0
35,7,17,24.0,0
45,9,14,28.0,0
25,5,5,20.0,0
30,6,15,22.0,0
40,8,19,30.0,0
35,7,10,24.0,0
25,5,11,24.0,0
30,6,7,22.0,0
20,4,6,18.0,0
40,8,17,26.0,0
35,7,16,28.0,0
25,5,6,20.0,0
25,5,14,20.0,0
20,4,4,18.0,0
30,6,13,22.0,0
25,5,11,20.0,0
20,4,7,18.0,0
20,4,11,18.0,0
25,5,9,20.0,0
20,4,7,18.0,0
45,9,17,28.0,0
60,12,25,34.0,0
