deadline,distance,steps,rewards,penalties
20,4,20,-5.0,-7.0
20,4,9,12.5,-3.5
20,4,16,15.0,-3.0
25,5,25,8.5,-1.5
25,5,25,15.0,-3.0
45,9,18,28.5,-1.5
40,8,10,21.0,-1.0
25,5,13,19.0,-1.0
20,4,17,25.0,-1.0
30,6,9,22.0,0
35,7,21,24.0,0
25,5,12,20.0,0
20,4,5,17.0,-1.0
30,6,21,21.0,-1.0
35,7,16,23.0,-1.0
30,6,10,13.0,-0.5
30,6,30,20.0,-4.0
25,5,5,20.0,0
35,7,20,30.0,-2.0
25,5,13,20.5,-1.5
40,8,26,33.5,-2.5
50,10,18,30.0,0
40,8,13,29.0,-1.0
20,4,20,5.0,-3.0
30,6,17,27.5,-0.5
40,8,15,25.0,-1.0
20,4,20,15.5,-2.5
35,7,24,30.0,-2.0
25,5,5,20.0,0
35,7,23,28.5,-5.5
30,6,15,26.5,-1.5
20,4,7,17.0,-1.0
35,7,9,23.0,-1.0
30,6,15,27.5,-0.5
20,4,11,15.5,-0.5
40,8,16,19.5,-0.5
20,4,16,23.5,-0.5
25,5,11,19.0,-1.0
25,5,16,19.0,-5.0
20,4,8,23.5,-0.5
30,6,13,26.5,-1.5
35,7,18,20.5,-1.5
35,7,13,21.5,-0.5
20,4,6,18.0,0
40,8,27,25.5,-2.5
20,4,14,18.5,-1.5
25,5,8,20.0,0
40,8,22,25.0,-1.0
40,8,17,30.5,-1.5
20,4,17,24.0,-2.0
35,7,4,9.5,0
25,5,9,19.0,-1.0
25,5,11,27.0,-1.0
30,6,12,25.0,-1.0
20,4,7,22.0,0
40,8,14,27.5,-0.5
30,6,11,18.5,-1.5
50,10,19,33.0,-1.0
20,4,10,21.0,-1.0
20,4,16,28.0,-2.0
20,4,6,17.0,-1.0
35,7,10,25.5,-0.5
20,4,9,15.5,-0.5
40,8,40,25.0,-3.0
25,5,21,23.0,-1.0
20,4,4,18.0,0
25,5,21,23.5,-2.5
20,4,8,18.0,0
20,4,7,18.0,0
40,8,13,26.0,0
30,6,11,22.0,0
25,5,17,22.0,-2.0
30,6,6,17.0,-1.0
25,5,19,18.0,-2.0
25,5,5,15.0,-1.0
25,5,8,20.0,0
30,6,6,22.0,0
40,8,21,29.0,-1.0
20,4,7,15.5,-0.5
30,6,4,11.5,-0.5
20,4,9,23.5,-0.5
45,9,12,20.5,-1.5
40,8,13,23.5,-0.5
25,5,11,19.0,-1.0
20,4,16,26.5,-1.5
40,8,11,20.0,-2.0
45,9,30,38.0,-2.0
50,10,16,19.5,-0.5
30,6,18,21.0,-1.0
25,5,11,18.0,-2.0
30,6,17,22.0,0
20,4,11,18.0,0
20,4,20,9.5,-0.5
40,8,19,26.5,-1.5
30,6,30,25.0,-3.0
20,4,4,18.0,0
20,4,14,18.5,-1.5
20,4,11,18.0,0
25,5,11,17.0,-3.0
30,6,21,26.5,-1.5
