deadline,distance,steps,rewards,penalties
20,4,20,0.5,-7.5
25,5,25,-5.5,-11.5
20,4,20,0.5,-7.5
30,6,30,-11.0,-15.0
50,10,45,3.5,-20.0
45,9,45,-17.0,-25.0
25,5,25,-1.0,-13.0
25,5,25,7.5,-8.5
30,6,30,-4.5,-12.5
35,7,35,-1.5,-15.5
20,4,20,6.0,-6.0
30,6,30,-5.5,-13.5
40,8,2,9.0,-0.5
40,8,30,13.0,-13.0
20,4,20,-5.5,-9.5
25,5,25,2.0,-10.0
30,6,30,-2.0,-14.0
45,9,45,-2.0,-18.0
25,5,25,-1.5,-9.5
35,7,12,9.5,-4.5
30,6,30,1.0,-13.0
20,4,20,-4.5,-8.5
20,4,16,13.0,-5.0
20,4,20,-10.0,-10.0
25,5,25,-4.5,-12.5
20,4,15,15.0,-7.0
30,6,2,14.0,0
30,6,30,-1.0,-11.0
35,7,35,2.5,-13.5
25,5,25,5.5,-10.5
20,4,20,1.0,-9.0
30,6,30,-5.5,-15.5
40,8,40,-15.0,-21.0
35,7,35,0.5,-13.5
30,6,30,2.0,-10.0
35,7,35,2.5,-13.5
20,4,20,4.5,-7.5
35,7,35,3.5,-14.5
20,4,17,13.5,-6.5
40,8,40,9.0,-15.0
25,5,22,14.5,-7.5
40,8,40,-3.0,-17.0
20,4,20,-6.0,-10.0
20,4,20,4.5,-7.5
45,9,5,9.0,-2.5
20,4,20,-7.5,-11.5
25,5,25,6.0,-6.0
30,6,13,14.0,-4.0
60,12,60,3.0,-23.0
35,7,33,17.5,-12.5
25,5,25,-2.5,-10.5
20,4,20,-1.5,-9.5
20,4,20,-5.5,-9.5
20,4,20,-6.5,-10.5
25,5,21,8.0,-12.0
40,8,40,9.0,-13.0
40,8,40,-14.0,-24.0
50,10,50,-6.5,-22.5
30,6,5,9.5,-2.5
50,10,50,-14.0,-22.0
35,7,30,19.0,-9.0
30,6,30,-3.0,-13.0
25,5,25,-0.5,-10.5
20,4,20,1.0,-9.0
30,6,30,-2.0,-12.0
20,4,20,-1.0,-7.0
40,8,40,3.0,-17.0
20,4,20,-1.5,-7.5
30,6,27,8.0,-10.0
20,4,20,0.0,-8.0
40,8,17,5.5,-10.5
20,4,20,6.5,-7.5
35,7,35,-8.5,-16.5
45,9,39,5.0,-19.0
25,5,25,8.0,-6.0
35,7,35,5.5,-12.5
30,6,13,10.5,-5.5
40,8,7,9.5,-2.5
35,7,35,-6.5,-14.5
25,5,25,0.0,-12.0
30,6,30,-4.5,-16.5
50,10,50,-8.0,-26.0
30,6,29,6.0,-12.0
25,5,25,-4.5,-14.5
35,7,35,-8.0,-14.0
25,5,17,9.5,-8.5
20,4,9,8.5,-3.5
25,5,25,4.0,-10.0
30,6,30,-3.5,-13.5
20,4,2,11.5,-0.5
30,6,30,-12.0,-16.0
35,7,20,3.0,-8.5
30,6,30,1.5,-10.5
20,4,20,3.5,-6.5
20,4,20,21.0,-5.0
40,8,40,-4.0,-20.0
20,4,11,15.0,-3.0
25,5,25,-6.5,-12.5
30,6,30,-1.5,-11.5
25,5,25,-9.0,-11.0
