deadline,distance,steps,rewards,penalties
35,7,35,6.5,-11.5
35,7,35,2.5,-11.5
40,8,40,12.5,-13.5
25,5,22,15.5,-6.5
20,4,20,9.0,-5.0
25,5,18,15.0,-5.0
25,5,25,-12.5,-14.5
20,4,11,13.0,-5.0
45,9,18,14.5,-7.5
30,6,30,-0.5,-14.5
40,8,40,3.0,-13.0
25,5,25,2.0,-10.0
30,6,30,16.5,-5.5
20,4,20,3.5,-4.5
20,4,20,6.5,-7.5
20,4,19,12.5,-7.5
20,4,20,11.0,-3.0
20,4,20,-1.0,-7.0
30,6,30,10.5,-5.5
45,9,31,11.5,-10.5
25,5,25,-0.5,-6.5
40,8,40,2.0,-16.0
30,6,30,1.5,-10.5
20,4,20,3.0,-9.0
30,6,30,-4.0,-12.0
40,8,30,29.5,-6.5
30,6,30,3.5,-10.5
25,5,25,-3.0,-9.0
25,5,25,-4.5,-12.5
25,5,25,6.5,-7.5
50,10,21,3.0,-10.5
20,4,20,3.0,-3.0
45,9,45,9.5,-12.5
35,7,35,24.0,-6.0
20,4,7,17.0,-1.0
30,6,30,-2.0,-10.0
25,5,25,7.0,-9.0
40,8,40,5.5,-14.5
25,5,6,13.5,-0.5
30,6,9,15.0,-3.0
20,4,20,-2.5,-8.5
40,8,40,0.0,-16.0
30,6,26,13.0,-9.0
25,5,14,9.5,-4.5
40,8,40,8.0,-14.0
20,4,20,-2.0,-6.0
20,4,20,0.0,-8.0
25,5,25,-2.5,-12.5
40,8,40,4.0,-12.0
25,5,25,-2.0,-8.0
55,11,17,11.5,-2.5
20,4,20,-5.0,-7.0
25,5,10,13.5,-0.5
20,4,20,4.0,-4.0
45,9,45,-1.0,-17.0
20,4,20,-1.0,-7.0
35,7,35,0.0,-10.0
35,7,6,11.0,-0.5
30,6,30,-9.5,-15.5
20,4,20,0.5,-3.5
20,4,20,-0.5,-2.5
20,4,20,0.0,0
25,5,25,0.0,0
25,5,25,-2.5,-2.5
30,6,30,-1.0,-3.0
20,4,20,1.0,-1.0
45,9,45,5.5,-2.5
30,6,30,1.5,-6.5
25,5,25,2.0,-6.0
20,4,20,6.0,-6.0
30,6,30,-0.5,-6.5
25,5,25,-5.5,-7.5
30,6,30,0.0,-6.0
25,5,25,0.0,0
20,4,20,0.0,0
30,6,30,0.0,0
25,5,25,0.0,-2.0
45,9,45,-0.5,-0.5
35,7,35,1.0,-7.0
35,7,35,10.0,-10.0
35,7,12,14.0,-6.0
35,7,35,0.0,0
30,6,30,1.5,-2.5
30,6,30,3.5,-0.5
25,5,25,7.0,-1.0
20,4,20,0.0,0
30,6,30,-0.5,-0.5
20,4,20,4.5,-3.5
40,8,40,-3.5,-11.5
35,7,35,-0.5,-0.5
30,6,30,3.5,-0.5
20,4,20,-0.5,-0.5
20,4,20,-1.5,-1.5
30,6,30,-0.5,-0.5
25,5,25,0.0,0
35,7,35,0.0,0
25,5,25,-1.0,-1.0
25,5,25,-2.5,-2.5
20,4,20,1.0,-3.0
45,9,45,-4.0,-14.0
