deadline,distance,steps,rewards,penalties
20,4,20,1.5,-6.5
35,7,22,20.5,-5.5
20,4,5,18.0,0
20,4,6,18.0,0
30,6,13,22.0,0
20,4,16,23.5,-0.5
30,6,12,22.0,0
20,4,4,18.0,0
20,4,4,18.0,0
35,7,14,24.0,0
30,6,19,27.5,-0.5
25,5,7,20.0,0
20,4,4,18.0,0
40,8,17,26.0,0
55,11,25,29.5,-0.5
20,4,6,18.0,0
25,5,17,20.0,0
30,6,19,23.5,-0.5
20,4,11,18.0,0
35,7,28,24.5,-1.5
50,10,25,30.0,0
30,6,16,22.0,0
35,7,14,24.0,0
35,7,29,33.5,-0.5
25,5,12,19.0,-1.0
20,4,4,18.0,0
35,7,14,24.0,0
50,10,10,19.5,-0.5
40,8,37,37.0,-1.0
50,10,28,30.0,0
25,5,9,20.0,0
25,5,3,13.5,-0.5
35,7,21,24.0,0
25,5,10,20.0,0
30,6,7,22.0,0
60,12,34,35.5,-0.5
30,6,7,22.0,0
45,9,16,28.0,0
25,5,11,20.0,0
25,5,12,20.0,0
25,5,8,20.0,0
45,9,9,21.5,-0.5
25,5,14,20.0,0
50,10,26,30.0,0
50,10,26,30.0,0
25,5,3,16.0,0
30,6,12,22.0,0
30,6,10,22.0,0
20,4,8,22.0,0
25,5,10,20.0,0
30,6,14,22.0,0
25,5,13,24.0,0
20,4,20,13.0,-1.0
30,6,9,22.0,0
20,4,9,18.0,0
45,9,26,28.0,0
30,6,9,22.0,0
20,4,8,18.0,0
55,11,27,32.0,0
40,8,17,26.0,0
20,4,11,17.0,-1.0
20,4,9,18.0,0
35,7,14,24.0,0
40,8,4,18.0,0
20,4,10,18.0,0
30,6,13,22.0,0
35,7,16,24.0,0
30,6,11,22.0,0
40,8,17,26.0,0
20,4,11,18.0,0
30,6,11,22.0,0
20,4,9,18.0,0
35,7,11,28.0,0
25,5,10,20.0,0
25,5,11,20.0,0
35,7,14,24.0,0
30,6,10,22.0,0
20,4,10,22.0,0
30,6,2,14.0,0
25,5,16,19.0,-1.0
35,7,11,25.5,-0.5
45,9,25,32.0,0
35,7,16,24.0,0
25,5,8,20.0,0
35,7,18,24.0,0
25,5,15,20.0,0
25,5,11,24.0,0
20,4,10,18.0,0
40,8,16,26.0,0
30,6,11,22.0,0
30,6,15,22.0,0
35,7,21,24.0,0
40,8,16,30.0,0
20,4,5,18.0,0
25,5,11,20.0,0
35,7,17,24.0,0
25,5,16,24.0,0
20,4,10,18.0,0
45,9,21,29.5,-0.5
35,7,11,21.5,-0.5
