deadline,distance,steps,rewards,penalties
30,6,5,13.0,-1.0
45,9,10,4.5,-5.0
20,4,20,-5.5,-7.5
55,11,55,-5.5,-17.5
50,10,50,-3.5,-17.5
25,5,25,15.0,-7.0
30,6,30,5.0,-9.0
40,8,40,2.0,-14.0
20,4,20,8.0,-6.0
35,7,35,0.0,-12.0
20,4,20,-4.0,-8.0
35,7,35,-2.0,-12.0
40,8,32,17.5,-10.5
20,4,20,11.0,-5.0
25,5,25,2.0,-10.0
30,6,30,-1.5,-13.5
25,5,25,-0.5,-10.5
25,5,25,13.5,-6.5
45,9,31,23.5,-10.5
30,6,30,2.0,-8.0
40,8,37,29.5,-10.5
40,8,40,9.5,-10.5
25,5,25,-0.5,-12.5
20,4,20,-9.0,-11.0
50,10,50,20.5,-15.5
25,5,18,21.5,-4.5
50,10,50,1.5,-18.5
20,4,20,6.5,-5.5
30,6,11,23.5,-0.5
35,7,35,17.5,-10.5
45,9,31,13.0,-11.0
20,4,6,18.0,0
35,7,17,21.0,-3.0
20,4,20,-9.0,-11.0
30,6,30,-2.0,-14.0
25,5,20,12.0,-7.5
35,7,11,17.0,-3.0
25,5,12,12.5,-5.0
30,6,30,-7.0,-15.0
35,7,35,-7.5,-15.5
20,4,20,-7.0,-9.0
25,5,25,11.0,-5.0
30,6,30,16.0,-10.0
20,4,20,4.0,-8.0
30,6,30,11.0,-9.0
20,4,20,7.5,-4.5
30,6,30,9.5,-8.5
20,4,20,-3.0,-9.0
25,5,25,-1.0,-9.0
25,5,25,-1.5,-11.5
25,5,25,-9.5,-15.5
30,6,30,20.0,-8.0
55,11,13,8.5,-5.0
55,11,55,-0.5,-24.5
45,9,45,11.5,-18.5
50,10,40,17.5,-14.5
20,4,20,11.0,-7.0
20,4,20,5.5,-6.5
25,5,25,11.0,-7.0
25,5,21,9.5,-8.5
20,4,7,17.0,-1.0
30,6,30,4.5,-11.5
20,4,20,-4.0,-10.0
20,4,20,4.5,-7.5
35,7,35,10.0,-12.0
25,5,25,14.5,-5.5
20,4,20,1.0,-7.0
30,6,30,0.5,-11.5
20,4,5,15.5,-0.5
20,4,20,4.0,-6.0
20,4,20,-2.0,-10.0
25,5,25,-2.5,-10.5
20,4,20,2.5,-5.5
25,5,23,23.5,-6.5
45,9,29,9.0,-11.0
30,6,30,-1.0,-15.0
50,10,50,-3.5,-21.5
35,7,19,21.5,-4.5
35,7,18,17.0,-6.5
25,5,25,8.0,-10.0
25,5,15,18.0,-6.0
20,4,20,1.5,-8.5
25,5,5,15.0,-1.0
20,4,6,14.5,-1.5
25,5,25,12.5,-7.5
50,10,50,15.0,-17.0
30,6,9,16.0,-2.0
25,5,25,10.5,-7.5
25,5,25,0.5,-11.5
25,5,25,0.5,-9.5
40,8,21,22.0,-4.0
20,4,20,9.0,-5.0
25,5,25,-7.0,-15.0
35,7,21,7.0,-9.0
40,8,10,22.5,-1.5
30,6,30,20.0,-6.0
20,4,20,-1.0,-7.0
55,11,53,14.0,-18.0
25,5,25,-2.0,-10.0
25,5,25,-1.5,-11.5
