deadline,distance,steps,rewards,penalties
20,4,20,8.5,-5.5
20,4,9,17.5,-2.5
30,6,4,10.5,-1.5
25,5,21,19.5,-6.5
25,5,11,20.0,0
40,8,17,26.0,0
35,7,12,24.0,0
35,7,16,23.0,-1.0
50,10,21,30.0,0
50,10,28,30.0,0
20,4,16,23.5,-0.5
30,6,8,22.0,0
20,4,14,23.5,-0.5
25,5,13,19.0,-1.0
35,7,11,24.0,0
20,4,6,18.0,0
20,4,5,18.0,0
25,5,9,20.0,0
25,5,13,24.0,0
45,9,21,28.5,-1.5
40,8,18,26.0,0
25,5,10,20.0,0
25,5,12,20.0,0
25,5,12,20.0,0
30,6,14,19.5,-0.5
20,4,16,18.0,0
35,7,11,24.0,0
20,4,11,18.0,0
35,7,16,28.0,0
20,4,10,17.0,-1.0
35,7,16,22.0,-2.0
20,4,9,18.0,0
20,4,5,18.0,0
20,4,6,22.0,0
30,6,14,20.0,-2.0
40,8,19,26.0,0
20,4,12,23.5,-0.5
35,7,23,24.0,0
35,7,20,22.0,-2.0
25,5,10,24.5,-1.5
45,9,19,25.5,-0.5
40,8,21,26.0,0
45,9,18,28.0,0
35,7,8,24.0,0
35,7,15,24.0,0
40,8,25,26.0,0
30,6,8,22.0,0
25,5,7,20.0,0
25,5,7,20.0,0
30,6,21,22.0,0
25,5,5,20.0,0
25,5,5,20.0,0
25,5,5,20.0,0
20,4,20,11.5,-0.5
25,5,10,20.0,0
20,4,12,18.0,0
20,4,10,18.0,0
20,4,6,18.0,0
20,4,11,18.0,0
25,5,5,20.0,0
25,5,6,20.0,0
25,5,8,20.0,0
25,5,13,20.0,0
35,7,7,20.0,0
25,5,8,20.0,0
25,5,8,19.0,-1.0
35,7,17,24.0,0
30,6,9,22.0,0
20,4,13,22.0,0
20,4,4,18.0,0
25,5,13,20.0,0
20,4,9,18.0,0
35,7,10,24.0,0
25,5,11,24.0,0
20,4,5,18.0,0
20,4,10,18.0,0
40,8,18,26.0,0
45,9,21,27.0,-1.0
45,9,24,28.0,0
35,7,16,24.0,0
20,4,4,18.0,0
20,4,7,18.0,0
25,5,13,20.0,0
30,6,9,22.0,0
20,4,11,16.0,-2.0
30,6,12,22.0,0
25,5,13,20.0,0
20,4,12,21.0,-1.0
30,6,14,22.0,0
35,7,18,24.0,0
35,7,18,28.5,-1.5
25,5,11,20.0,0
45,9,17,27.0,-1.0
25,5,13,20.0,0
25,5,5,20.0,0
25,5,8,20.0,0
30,6,14,21.0,-1.0
20,4,6,18.0,0
25,5,16,19.0,-1.0
50,10,18,29.0,-1.0
