deadline,distance,steps,rewards,penalties
30,6,30,-9.5,-13.5
30,6,30,5.5,-6.5
35,7,17,16.5,-5.5
20,4,20,-1.0,-9.0
25,5,25,8.0,-6.0
30,6,20,30.0,-4.0
20,4,8,15.0,-3.0
40,8,14,19.0,-3.0
25,5,18,21.0,-3.0
20,4,20,4.0,-6.0
50,10,23,20.5,-7.5
20,4,20,12.5,-5.5
40,8,35,26.5,-5.5
25,5,10,18.0,-2.0
30,6,7,17.0,-1.0
25,5,11,11.5,-2.0
45,9,28,22.5,-7.5
30,6,30,5.0,-11.0
20,4,4,15.5,-0.5
30,6,19,13.5,-6.5
30,6,30,17.0,-9.0
20,4,20,6.0,-4.0
35,7,20,19.0,-4.5
20,4,20,6.5,-5.5
30,6,30,4.5,-11.5
25,5,13,11.0,-5.0
30,6,30,8.0,-10.0
40,8,40,20.0,-10.0
30,6,30,20.0,-4.0
50,10,26,28.0,-6.0
25,5,18,23.0,-5.0
35,7,31,24.5,-9.5
30,6,26,18.5,-9.5
45,9,45,19.5,-12.5
40,8,18,23.5,-4.5
25,5,23,27.0,-5.0
40,8,9,10.5,-1.5
25,5,21,28.0,-4.0
40,8,3,11.5,-0.5
25,5,10,17.0,-3.0
30,6,25,27.0,-7.0
40,8,13,16.5,-3.5
45,9,26,32.5,-5.5
30,6,30,0.0,-12.0
25,5,21,15.5,-6.5
40,8,26,18.0,-8.0
25,5,25,2.0,-10.0
25,5,22,23.5,-6.5
35,7,27,12.0,-12.0
25,5,16,21.0,-3.0
50,10,44,30.0,-8.0
25,5,14,16.5,-1.5
30,6,30,27.0,-7.0
35,7,35,16.0,-8.0
35,7,35,8.0,-12.0
45,9,11,14.5,-3.5
25,5,25,4.5,-9.5
45,9,41,26.0,-14.0
20,4,20,7.0,-7.0
40,8,40,-0.5,-12.5
25,5,21,15.5,-6.0
20,4,20,6.0,-8.0
25,5,22,24.5,-5.5
45,9,45,22.0,-12.0
30,6,30,11.0,-9.0
20,4,14,26.5,-1.5
30,6,30,17.0,-7.0
20,4,8,17.5,-2.5
40,8,21,15.5,-8.5
25,5,25,11.0,-9.0
25,5,18,23.5,-2.5
50,10,8,6.5,-5.5
40,8,8,17.0,-1.0
20,4,10,15.0,-3.0
25,5,19,16.5,-5.5
20,4,14,20.5,-3.5
25,5,25,4.0,-10.0
45,9,28,27.0,-9.0
30,6,30,6.5,-7.5
30,6,30,13.5,-8.5
25,5,21,23.5,-2.5
20,4,20,3.5,-6.5
35,7,13,22.0,-2.0
30,6,29,17.5,-10.5
20,4,20,19.0,-7.0
30,6,6,13.5,-2.5
25,5,25,4.5,-9.5
30,6,30,15.0,-9.0
30,6,17,23.5,-4.5
35,7,35,11.5,-10.5
50,10,50,24.0,-14.0
20,4,12,16.0,-2.0
30,6,18,25.0,-5.0
30,6,30,16.5,-7.5
20,4,5,14.5,-1.5
30,6,3,11.5,-0.5
40,8,32,22.5,-9.5
25,5,18,26.5,-3.5
40,8,31,27.5,-8.5
40,8,40,10.5,-11.5
