deadline,distance,steps,rewards,penalties
20,4,20,2.0,-6.0
45,9,45,27.0,-9.0
35,7,19,24.0,0
25,5,14,18.0,-2.0
30,6,9,23.5,-0.5
25,5,16,20.5,-1.5
25,5,13,20.0,0
45,9,33,29.5,-0.5
35,7,18,23.5,-2.5
30,6,25,25.5,-2.5
35,7,17,24.0,0
20,4,13,20.0,-2.0
25,5,17,20.0,0
20,4,20,8.5,-1.5
20,4,13,18.0,0
25,5,7,20.0,0
25,5,10,17.5,-0.5
20,4,13,18.0,0
20,4,10,18.0,0
25,5,11,20.0,0
45,9,25,29.5,-0.5
40,8,17,26.0,0
30,6,18,23.5,-0.5
30,6,20,27.5,-0.5
20,4,8,18.0,0
35,7,25,22.0,-2.0
30,6,10,22.0,0
30,6,9,19.5,-0.5
30,6,30,22.5,-1.5
30,6,15,25.0,-1.0
20,4,4,18.0,0
25,5,12,19.0,-1.0
45,9,21,27.0,-1.0
20,4,5,18.0,0
30,6,11,22.0,0
20,4,8,18.0,0
30,6,13,22.0,0
45,9,43,41.5,-0.5
20,4,8,18.0,0
20,4,10,14.5,-1.5
40,8,28,33.0,-1.0
20,4,14,22.5,-1.5
20,4,14,18.0,0
25,5,11,19.0,-1.0
20,4,6,17.0,-1.0
20,4,8,23.5,-0.5
35,7,21,30.0,-2.0
20,4,11,18.0,0
30,6,13,19.5,-0.5
20,4,5,18.0,0
35,7,16,24.0,0
35,7,13,23.0,-1.0
20,4,13,21.0,-1.0
30,6,9,22.0,0
40,8,18,26.0,0
20,4,6,18.0,0
40,8,22,24.5,-3.5
20,4,9,23.5,-0.5
35,7,24,24.0,0
25,5,17,29.5,-0.5
20,4,11,19.5,-0.5
25,5,10,20.0,0
20,4,8,22.0,0
20,4,11,22.5,-1.5
20,4,4,18.0,0
25,5,11,18.0,-2.0
40,8,12,26.0,0
25,5,7,20.0,0
40,8,14,26.0,0
55,11,21,27.0,-1.0
25,5,12,20.0,0
20,4,9,22.0,0
40,8,16,25.0,-1.0
40,8,13,26.0,0
40,8,25,23.0,-3.0
20,4,17,19.5,-0.5
45,9,8,16.5,-1.5
20,4,4,18.0,0
40,8,29,30.5,-1.5
20,4,12,18.0,0
20,4,7,17.0,-1.0
35,7,14,33.5,-0.5
25,5,11,24.0,0
30,6,15,21.0,-1.0
30,6,7,22.0,0
20,4,5,18.0,0
35,7,13,24.0,0
35,7,17,24.0,0
30,6,15,24.0,-2.0
20,4,12,23.5,-0.5
25,5,16,20.0,0
20,4,11,22.0,0
30,6,22,19.0,-3.0
25,5,7,20.0,0
25,5,16,21.5,-0.5
20,4,14,18.5,-1.5
20,4,17,16.5,-3.5
25,5,16,24.0,0
25,5,13,20.0,0
25,5,7,20.0,0
