deadline,distance,steps,rewards,penalties
20,4,16,14.5,-5.5
30,6,30,1.0,-9.0
30,6,7,13.5,-2.5
25,5,25,2.5,-9.5
35,7,28,20.0,-8.0
30,6,11,17.5,-2.5
35,7,17,17.0,-3.0
25,5,13,23.0,-1.0
30,6,30,16.0,-6.0
20,4,10,17.0,-1.0
20,4,12,18.5,-1.5
25,5,19,25.0,-3.0
40,8,11,26.0,0
25,5,21,18.0,-6.0
45,9,13,15.5,-2.5
35,7,24,28.5,-5.5
20,4,20,10.5,-5.5
20,4,20,13.0,-5.0
25,5,12,13.5,-4.5
30,6,21,25.5,-2.5
20,4,8,16.0,-2.0
30,6,8,21.0,-1.0
20,4,14,10.5,-5.0
30,6,30,20.0,-8.0
25,5,25,14.5,-3.5
20,4,18,19.5,-4.5
40,8,25,27.5,-4.5
25,5,17,22.0,-2.0
25,5,10,25.5,-0.5
25,5,10,15.0,-1.0
25,5,25,12.5,-5.5
40,8,23,30.0,-4.0
45,9,38,36.0,-8.0
30,6,21,24.0,-6.0
20,4,10,11.5,-4.5
30,6,26,30.5,-5.5
30,6,23,22.5,-5.0
20,4,20,12.5,-3.5
35,7,19,20.0,-4.0
40,8,25,20.5,-7.5
25,5,9,16.5,-1.5
25,5,12,18.0,-2.0
30,6,25,29.5,-6.5
40,8,25,30.0,-4.0
40,8,40,19.5,-8.5
35,7,35,7.5,-10.5
50,10,21,18.0,-4.0
50,10,26,26.5,-5.5
40,8,40,36.0,-8.0
30,6,26,18.5,-5.5
30,6,30,10.0,-6.0
30,6,12,21.5,-2.5
50,10,13,18.0,-4.0
20,4,20,3.5,-8.5
20,4,11,19.0,-3.0
20,4,10,21.0,-1.0
25,5,12,16.0,-4.0
20,4,14,17.0,-5.0
30,6,15,15.5,-4.5
25,5,14,14.5,-3.5
25,5,3,13.5,-0.5
50,10,38,38.0,-8.0
25,5,15,22.5,-3.5
35,7,35,16.5,-5.5
20,4,19,16.0,-6.0
30,6,30,21.0,-9.0
20,4,17,17.5,-2.5
35,7,35,15.5,-8.5
20,4,15,18.0,-4.0
25,5,17,17.5,-4.5
45,9,12,22.0,-2.0
25,5,25,11.0,-5.0
20,4,20,10.5,-5.5
25,5,14,17.5,-4.5
35,7,29,27.5,-6.5
35,7,13,19.5,-2.5
40,8,25,32.5,-3.5
30,6,13,20.0,-2.0
35,7,23,24.0,-4.0
20,4,20,14.5,-9.5
45,9,12,19.0,-1.0
50,10,29,20.5,-7.5
25,5,12,18.0,-2.0
20,4,20,8.5,-5.5
30,6,11,19.5,-0.5
25,5,21,26.5,-3.5
25,5,21,29.0,-3.0
20,4,16,24.0,-2.0
35,7,6,16.5,-1.5
30,6,17,28.5,-3.5
25,5,8,17.5,-0.5
40,8,27,34.0,-8.0
30,6,30,8.5,-9.5
20,4,7,17.0,-1.0
30,6,30,11.5,-4.5
25,5,25,14.5,-5.5
25,5,25,2.5,-9.5
20,4,11,17.5,-2.5
20,4,20,9.5,-4.5
20,4,10,16.0,-2.0
